word	shaw	ipa	pos	var	confidence	notes
brexit	𐑚𐑮𐑧𐑒𐑕𐑦𐑑	breksɪt	UNC	RSSB	89	shave_says:𐑚𐑮𐑧𐑜𐑟𐑦𐑑
bromwich	𐑚𐑮𐑪𐑥𐑦𐑡	brɒmɪdʒ	UNC	RSSB	89	shave_says:𐑚𐑮𐑪𐑥𐑦𐑗
buddha	𐑚𐑵𐑛𐑩	bˈuːdə	UNC	RSSB	89	shave_says:𐑚𐑫𐑛𐑩
bukkake	𐑚𐑫𐑒𐑨𐑒𐑦	bˌʊkˈæki	UNC	RSSB	89	shave_says:𐑚𐑫𐑒𐑭𐑒𐑦
bukkake	𐑚𐑵𐑒𐑨𐑒𐑦	bˌuːkˈæki	UNC	RSSB	89	shave_says:𐑚𐑫𐑒𐑭𐑒𐑦
cameron	𐑒𐑨𐑥𐑼𐑼𐑯	kæmərəRn	UNC	RSSB	89	shave_says:𐑒𐑨𐑥𐑼𐑩𐑯
cappuccino	𐑒𐑨𐑐𐑫𐑗𐑰𐑯𐑴	kˌæpʊtʃˈiːnəʊ	UNC	RSSB	89	shave_says:𐑒𐑭𐑐𐑵𐑗𐑰𐑯𐑴
capri	𐑒𐑩𐑐𐑮𐑰	kəpriː	UNC	RSSB	89	shave_says:𐑒𐑭𐑐𐑮𐑦
capri	𐑒𐑨𐑐𐑮𐑦	kæpri	UNC	RSSB	89	shave_says:𐑒𐑭𐑐𐑮𐑦
carlos	𐑒𐑸𐑤𐑪𐑕	kɑːRlɒs	UNC	RSSB	89	shave_says:𐑒𐑸𐑤𐑴𐑕
casio	𐑒𐑨𐑕𐑾𐑫	kˈæsɪəʊ	UNC	RSSB	89	shave_says:𐑒𐑨𐑕𐑦𐑴
catastrophy	𐑒𐑩𐑑𐑨𐑕𐑑𐑮𐑩𐑓𐑦	kətæstrəfi	UNC	RSSB	89	shave_says:𐑒𐑩𐑑𐑨𐑕𐑑𐑮𐑩𐑓𐑦𐑦
cee	𐑕𐑰	sˈiː	UNC	RSSB	89	shave_says:𐑕𐑱
cees	𐑕𐑰𐑟	sˈiːz	UNC	RSSB	89	shave_says:𐑕𐑱𐑟
celebs	𐑕𐑦𐑤𐑧𐑚𐑟	sɪlˈebz	UNC	RSSB	89	shave_says:𐑕𐑧𐑤𐑧𐑚𐑟
cheryl	𐑖𐑧𐑮𐑼𐑤	ʃerəRl	UNC	RSSB	89	shave_says:𐑖𐑧𐑮𐑦𐑤
cheshunt	𐑗𐑧𐑟𐑩𐑯𐑑	tʃˈezənt	UNC	RSSB	89	shave_says:𐑗𐑧𐑕𐑣𐑳𐑯𐑑
chetah	𐑗𐑰𐑑𐑩	tʃˈiːtə	UNC	RSSB	89	shave_says:𐑗𐑧𐑑𐑩
chevrolet	𐑖𐑧𐑝𐑮𐑴𐑤𐑱	ʃevrəʊleɪ	UNC	RSSB	89	shave_says:𐑖𐑧𐑝𐑮𐑩𐑤𐑱
chevy	𐑗𐑧𐑝𐑦	tʃˈevi	UNC	RSSB	89	shave_says:𐑖𐑧𐑝𐑦
chi	𐑒𐑲	kˈaɪ	UNC	RSSB	89	shave_says:[𐑒𐑲 / 𐑗𐑰]
chi	𐑗𐑰	tʃˈiː	UNC	RSSB	89	shave_says:[𐑒𐑲 / 𐑗𐑰]
chi	𐑒𐑰	kˈiː	UNC	RSSB	89	shave_says:[𐑒𐑲 / 𐑗𐑰]
christie	𐑒𐑮𐑦𐑕𐑑𐑦	krɪsti	UNC	RSSB	89	shave_says:𐑒𐑮𐑲𐑕𐑑𐑦
cinammon	𐑕𐑦𐑯𐑩𐑥𐑩𐑯	sˈɪnəmən	UNC	RSSB	89	shave_says:𐑕𐑦𐑯𐑩𐑩𐑥𐑩𐑯
clackmannanshire	𐑒𐑤𐑨𐑒𐑥𐑨𐑯𐑼𐑯𐑖𐑼	klækmænəRnʃəR	UNC	RSSB	89	shave_says:𐑒𐑤𐑨𐑒𐑥𐑩𐑯𐑩𐑯𐑖𐑼
co-operative	𐑒𐑴𐑪𐑐𐑮𐑼𐑑𐑦𐑝	kəʊɒprəRtɪv	UNC	RSSB	89	shave_says:𐑒𐑴-𐑪𐑐𐑼𐑩𐑑𐑦𐑝
co-operative	𐑒𐑴𐑪𐑐𐑼𐑼𐑑𐑦𐑝	kəʊɒpərəRtɪv	UNC	RSSB	89	shave_says:𐑒𐑴-𐑪𐑐𐑼𐑩𐑑𐑦𐑝
cohen	𐑒𐑴𐑩𐑯	kˈəʊən	UNC	RSSB	89	shave_says:𐑒𐑴𐑦𐑯
colateral	𐑒𐑩𐑤𐑨𐑑𐑼𐑼𐑤	kəlætərəRl	UNC	RSSB	89	shave_says:𐑒𐑴𐑤𐑨𐑑𐑼𐑩𐑤
colateral	𐑒𐑪𐑤𐑨𐑑𐑼𐑼𐑤	kɒlætərəRl	UNC	RSSB	89	shave_says:𐑒𐑴𐑤𐑨𐑑𐑼𐑩𐑤
colerne	𐑒𐑳𐑤𐑼𐑯	kʌləRn	UNC	RSSB	89	shave_says:colerne
collectables	𐑒𐑩𐑤𐑧𐑒𐑑𐑦𐑚𐑩𐑤𐑟	kəlˈektɪbəlz	UNC	RSSB	89	shave_says:𐑒𐑩𐑤𐑧𐑒𐑑𐑩𐑚𐑩𐑤𐑟
conferencing	𐑒𐑪𐑯𐑓𐑮𐑼𐑯𐑕𐑦𐑙	kɒnfrəRnsɪŋ	UNC	RSSB	89	shave_says:𐑒𐑪𐑯𐑓𐑼𐑩𐑯𐑕𐑦𐑙
continuum	𐑒𐑩𐑯𐑑𐑦𐑯𐑘𐑩𐑩𐑥	kəntˈɪnjəəm	UNC	RSSB	89	shave_says:𐑒𐑩𐑯𐑑𐑦𐑯𐑿𐑩𐑥
