word	shaw	ipa	pos	var	confidence	notes
abdominous	𐑨𐑚𐑛𐑪𐑥𐑩𐑯𐑩𐑕	æbˈdɒmənəs	AJ0	GenAm	89	shave_says:[𐑨𐑚𐑛𐑪𐑥𐑦𐑯𐑴𐑩𐑕 / 𐑭𐑚𐑛𐑴𐑥𐑲𐑯𐑩𐑕 / 𐑨𐑚𐑛𐑴𐑥𐑦𐑯𐑩𐑕 / 𐑨𐑚𐑛𐑴𐑥𐑰𐑯𐑴𐑩𐑕 / 𐑨𐑚𐑛𐑴𐑥𐑰𐑯𐑴𐑵𐑟]
abduce	𐑩𐑚𐑛𐑿𐑕	əbˈdjuːs	VVI	RSSB	89	shave_says:[𐑨𐑚𐑛𐑵𐑗𐑱 / 𐑭𐑚𐑛𐑵𐑕]
abduce	𐑨𐑚𐑛𐑫𐑕	æbˈdus	VVI	GenAm	89	shave_says:[𐑨𐑚𐑛𐑵𐑗𐑱 / 𐑭𐑚𐑛𐑵𐑕]
abducens	𐑨𐑚𐑡𐑵𐑕𐑩𐑯𐑟	abˈdʒuːsənz	NN1	RSSB	89	shave_says:𐑨𐑚𐑛𐑵𐑗𐑱𐑩𐑯𐑟
abducens	𐑨𐑚𐑛𐑫𐑕𐑧𐑯𐑟	æbˈduˌsenz	NN1	GenAm	89	shave_says:𐑨𐑚𐑛𐑵𐑗𐑱𐑩𐑯𐑟
abducent	𐑨𐑚𐑛𐑫𐑕𐑩𐑯𐑑	æbˈdusənt	AJ0	GenAm	89	shave_says:[𐑭𐑚𐑛𐑵𐑕𐑧𐑯𐑑 / 𐑨𐑚𐑛𐑵𐑕𐑧𐑯𐑑]
abecedarian	𐑱𐑚𐑰𐑕𐑰𐑛𐑺𐑦𐑩𐑯	eɪbiːsiːdeərɪ+ən	NN1	RSSB	89	shave_says:[𐑱𐑚𐑦𐑕𐑰𐑛𐑼𐑦𐑩𐑯 / 𐑭𐑚𐑧𐑕𐑑𐑺𐑦𐑩𐑯 / 𐑨𐑚𐑰𐑕𐑰𐑛𐑺𐑦𐑩𐑯 / 𐑭𐑚𐑧𐑕𐑑𐑼𐑦𐑩𐑯 / 𐑭𐑚𐑧𐑕𐑛𐑸𐑦𐑩𐑯]
abecedarian	𐑱𐑚𐑦𐑕𐑰𐑛𐑧𐑮𐑦𐑩𐑯	ˌeɪbiˌsiːˈderi+ən	NN1	GenAm	89	shave_says:[𐑱𐑚𐑦𐑕𐑰𐑛𐑼𐑦𐑩𐑯 / 𐑭𐑚𐑧𐑕𐑑𐑺𐑦𐑩𐑯 / 𐑨𐑚𐑰𐑕𐑰𐑛𐑺𐑦𐑩𐑯 / 𐑭𐑚𐑧𐑕𐑑𐑼𐑦𐑩𐑯 / 𐑭𐑚𐑧𐑕𐑛𐑸𐑦𐑩𐑯]
abecedarius	𐑱𐑚𐑦𐑕𐑰𐑛𐑨𐑮𐑦𐑩𐑕	ˌeɪbiˌsiːˈdæri+əs	NN1	GenAm	89	shave_says:[𐑱𐑚𐑧𐑒𐑑𐑺𐑾𐑕 / 𐑭𐑚𐑧𐑕𐑑𐑺𐑾𐑕 / 𐑨𐑚𐑰𐑕𐑰𐑛𐑺𐑾𐑕 / 𐑭𐑚𐑧𐑕𐑑𐑼𐑦𐑩𐑕 / 𐑭𐑚𐑧𐑕𐑛𐑸𐑦𐑩𐑕]
abelia	𐑩𐑚𐑰𐑤𐑘𐑩	əˈbiːljə	NN1	GenAm	89	shave_says:[𐑨𐑚𐑰𐑤𐑦𐑩 / 𐑱𐑚𐑦𐑤𐑦𐑩 / 𐑩𐑚𐑰𐑤𐑦𐑩]
