word	shaw	ipa	pos	var	confidence
-buterol	𐑚𐑿𐑑𐑼𐑪𐑤	bjuːtərɒl	UNC	RSSB	high
-buvir	𐑚𐑘𐑩𐑝𐑦𐑮	bjəˌvɪr	UNC	RGAM	high
-buvir	𐑚𐑘𐑩𐑝𐑽	bjəvɪəR	UNC	RSSB	high
-capone	𐑒𐑩𐑐𐑴𐑯	kəpəʊn	UNC	RSSB	high
-carnil	𐑒𐑸𐑯𐑦𐑤	kɑːRnɪl	UNC	RSSB	high
-cavir	𐑒𐑩𐑝𐑦𐑮	kəˌvɪr	UNC	RGAM	high
-cavir	𐑒𐑩𐑝𐑽	kəvɪəR	UNC	RSSB	high
-cest	-𐑕𐑧𐑕𐑑	-sest	UNC	RSSB	high
-cha	𐑗𐑘𐑨	tʃjæ	PNP	RSSB	high
-cha	𐑗𐑘𐑩	tʃjə	PNP	RSSB	high
-chezia	𐑒𐑰𐑟𐑾	ˈkiːzɪə	UNC	RSSB	high
-chore	𐑒𐑪𐑮	kor	UNC	RGAM	high
-chore	𐑒𐑹	kɔːR	UNC	RSSB	high
-ciclovir	𐑕𐑲𐑒𐑤𐑴𐑝𐑦𐑮	ˈsaɪkloʊˌvɪr	UNC	RGAM	high
-ciclovir	𐑕𐑳𐑦𐑒𐑤𐑴𐑝𐑽	sʌɪkləʊvɪəR	UNC	RSSB	high
-clofenac	𐑒𐑤𐑴𐑓𐑩𐑯𐑨𐑒	ˈkləʊfənæk	UNC	RSSB	high
-coccus	-𐑒𐑪𐑒𐑩𐑕	-ˈkɒkəs	UNC	RSSB	high
-conazole	𐑒𐑪𐑯𐑩𐑟𐑴𐑤	ˈkɒnəzəʊl	UNC	RSSB	high
-cort	𐑒𐑪𐑮𐑑	kort	UNC	RGAM	high
-cort	𐑒𐑹𐑑	kɔːRt	UNC	RSSB	high
-cort-	𐑒𐑪𐑮𐑑	kort	UNC	RGAM	high
-cort-	𐑒𐑹𐑑	kɔːRt	UNC	RSSB	high
-coxib	𐑒𐑪𐑒𐑕𐑦𐑚	ˈkɒksɪb	UNC	RGAM	high
-cratic	𐑒𐑮𐑨𐑑𐑦𐑒	krætɪk	UNC	RSSB	high
-curium	𐑒𐑘𐑼𐑦𐑩𐑥	ˈkjəriəm	UNC	RGAM	high
-curonium	𐑒𐑘𐑼𐑴𐑯𐑦𐑩𐑥	kjərəʊniəm	UNC	RSSB	high
-dar	-𐑛𐑸	-dɑːR	UNC	RSSB	high
-dilol	𐑛𐑦𐑤𐑪𐑤	dɪlɒl	UNC	RSSB	high
-dilol	𐑛𐑦𐑤𐑷𐑤	dɪlɔːl	UNC	RGAM	high
-dipine	𐑛𐑦𐑐𐑰𐑯	dɪpiːn	UNC	RSSB	high
-dipine	𐑛𐑩𐑐𐑰𐑯	dəˌpiːn	UNC	RGAM	high
-dom	-𐑛𐑪𐑥	-dɒm	UNC	RSSB	high
-dopa	𐑛𐑴𐑐𐑩	ˈdəʊpə	UNC	RSSB	high
-drine	𐑛𐑮𐑦𐑯	drɪn	UNC	RGAM	high
-drine	𐑛𐑮𐑰𐑯	driːn	UNC	RSSB	high
-dutant	𐑛𐑫𐑑𐑩𐑯𐑑	ˈdutənt	UNC	RGAM	high
-dutant	𐑛𐑿𐑑𐑩𐑯𐑑	ˈdjuːtənt	UNC	RSSB	high
-ed	𐑦𐑛	ɪd	UNC	RSSB	high
-ed	𐑩𐑛	əd	UNC	RGAM	high
-eer	𐑽	ɪər	UNC	RSSB	high
-ency	-𐑦𐑯𐑕𐑦	-ɪnsɪ	UNC	RGAM	high
-ene	-𐑦𐑯	-in	UNC	RGAM	high
-ene	-𐑰𐑯	-iːn	UNC	RSSB	high
-enes	-𐑦𐑯𐑟	-inz	UNC	RGAM	high
-enes	-𐑰𐑯𐑟	-iːnz	UNC	RSSB	high
-eous	-𐑦𐑩𐑕	-iəs	UNC	RGAM	high
-eous	-𐑾𐑕	-ɪəs	UNC	RSSB	high
-er	𐑮	r	UNC	RGAM	high
-er	𐑼	əR	UNC	RSSB	high
-erg-	𐑻𐑜	ɜːRɡ	UNC	RSSB	high
-eridine	𐑧𐑮𐑦𐑛𐑦𐑯	ˈerɪˌdin	UNC	RGAM	high
-eridine	𐑧𐑮𐑦𐑛𐑰𐑯	erɪdiːn	UNC	RSSB	high
-es	-𐑰𐑟	-iːz	UNC	RGAM	high
-ese	𐑦𐑟	ˈiz	UNC	RGAM	high
-ese	𐑰𐑟	ˈiːz	UNC	RSSB	high
-fer	𐑓𐑻	fɜːR	UNC	RGAM	high
-fer	𐑓𐑼	fəR	UNC	RSSB	high
-fix	𐑓𐑦𐑒𐑕	fɪks	UNC	RSSB	high
-floxacin	𐑓𐑤𐑪𐑒𐑕𐑩𐑕𐑦𐑯	ˈflɒksəsɪn	UNC	RSSB	high
-flurane	𐑓𐑤𐑫𐑮𐑱𐑯	ˈflʊrˌeɪn	UNC	RGAM	high
-flurane	𐑓𐑤𐑫𐑼𐑱𐑯	flʊəreɪn	UNC	RSSB	high
-formin	𐑓𐑹𐑥𐑦𐑯	fɔːRmɪn	UNC	RSSB	high
-fos	𐑓𐑪𐑕	fɒs	UNC	RSSB	high
-fos-	𐑓𐑩𐑕	fəs	UNC	RSSB	high
-fos-	𐑓𐑪𐑕	fɒs	UNC	RSSB	high
-fosfamide	𐑓𐑪𐑕𐑓𐑩𐑥𐑲𐑛	ˈfɒsfəˌmaɪd	UNC	RGAM	high
-fosfamide	𐑓𐑪𐑕𐑓𐑩𐑥𐑳𐑦𐑛	ˈfɒsfəmʌɪd	UNC	RSSB	high
-fosine	𐑓𐑩𐑕𐑦𐑯	fəˌsin	UNC	RGAM	high
-fosine	𐑓𐑩𐑟𐑰𐑯	fəziːn	UNC	RSSB	high
-fovir	𐑓𐑩𐑝𐑦𐑮	fəˌvɪr	UNC	RGAM	high
-fovir	𐑓𐑩𐑝𐑽	fəvɪəR	UNC	RSSB	high
-fu	𐑓𐑵	fuː	UNC	RSSB	high
-gasm	-𐑜𐑨𐑟𐑩𐑥	-ɡæzəm	UNC	RGAM	high
-gesterone	𐑡𐑧𐑕𐑑𐑼𐑴𐑯	dʒestərəʊn	UNC	RSSB	high
-gliflozin	𐑜𐑤𐑦𐑓𐑤𐑴𐑟𐑦𐑯	ɡlɪˈfləʊzɪn	UNC	RSSB	high
-glitazar	𐑜𐑤𐑦𐑑𐑩𐑟𐑸	ɡlɪtəzɑːR	UNC	RSSB	high
-glitazone	𐑜𐑤𐑦𐑑𐑩𐑟𐑴𐑯	ˈɡlɪtəzəʊn	UNC	RSSB	high
-gonium	𐑜𐑴𐑯𐑾𐑥	ˈɡəʊnɪəm	UNC	RSSB	high
-ham	𐑣𐑨𐑥	ˌhæm	UNC	RGAM	high
-ham	𐑣𐑩𐑥	həm	UNC	RSSB	high
-ham	𐑩𐑥	əm	UNC	RSSB	high
-hon	-𐑣𐑪𐑯	-hɒn	NN1	RSSB	high
-ial	-𐑦𐑩𐑤	-iəl	UNC	RGAM	high
-ial	-𐑰𐑩𐑤	-iːəl	UNC	RSSB	high
-ials	-𐑦𐑩𐑤𐑟	-iəlz	UNC	RGAM	high
-ials	-𐑰𐑩𐑤𐑟	-iːəlz	UNC	RSSB	high
-ie	-𐑦	-i	UNC	RGAM	high
-ie	-𐑰	-iː	UNC	RSSB	high
-ilide	𐑩𐑤𐑲𐑛	əˌlaɪd	UNC	RGAM	high
-ino	𐑦𐑯𐑴	ˈinoʊ	UNC	RGAM	high
-ino	𐑰𐑯𐑴	ˈiːnəʊ	UNC	RSSB	high
-ion	𐑲𐑩𐑯	aɪən	UNC	RGAM	high
-ion	𐑾𐑯	ɪən	UNC	RSSB	high
-ish	𐑦𐑖	ɪʃ	UNC	RGAM	high
-itude	𐑑𐑿𐑛	ˌtjuːd	UNC	RSSB	high
-ity	𐑑𐑦	ti	UNC	RGAM	high
-ity	𐑦𐑑𐑦	ɪti	UNC	RSSB	high
-ity	𐑩𐑑𐑦	əti	UNC	RSSB	high
-ization	-𐑩𐑟𐑱𐑖𐑩𐑯	-əˈzeɪʃən	UNC	RSSB	high
-ization	-𐑲𐑟𐑱𐑖𐑩𐑯	-ˌaɪˈzeɪʃən	UNC	RSSB	high
-ize	-𐑲𐑟	-aɪz	UNC	RGAM	high
-kinesis	𐑒𐑦𐑯𐑰𐑕𐑦𐑕	kɪˈniːsɪs	UNC	RSSB	high
-kiren	𐑒𐑲𐑮𐑩𐑯	ˈkaɪrən	UNC	RGAM	high
-kiren	𐑒𐑼𐑩𐑯	kərən	UNC	RGAM	high
-log	𐑤𐑷𐑜	ˌlɔːɡ	UNC	RGAM	high
-logue	𐑤𐑪𐑜	ˌlɒɡ	UNC	RSSB	high
-logue	𐑤𐑷𐑜	ˌlɔːɡ	UNC	RGAM	high
-logues	𐑤𐑪𐑜𐑟	lɒɡz	UNC	RSSB	high
