type	word	pos	var	ipa	shaw_fragment	full_ipa	full_shaw	confidence
affix	-carnil	UNC	RSSB	kɑːRnɪl	𐑒𐑸𐑯𐑦𐑤			89
affix	-carnil	UNC	GenAm	ˈkɑːRnɪl	𐑒𐑸𐑯𐑦𐑤			89
affix	-cavir	UNC	RSSB	kəvɪəR	𐑒𐑩𐑝𐑽			89
affix	-cavir	UNC	GenAm	kəˌvɪr	𐑒𐑩𐑝𐑦𐑮			89
affix	-cest	UNC	RSSB	-sest	-𐑕𐑧𐑕𐑑			89
affix	-cha	PNP	RSSB	tʃjə	𐑗𐑘𐑩			89
affix	-cha	PNP	RSSB	tʃjæ	𐑗𐑘𐑨			89
affix	-chezia	UNC	RSSB	ˈkiːzɪə	𐑒𐑰𐑟𐑾			89
affix	-chore	UNC	RSSB	kɔːR	𐑒𐑹	tʃɔːR	𐑗𐑹	89
affix	-chore	UNC	GenAm	kor	𐑒𐑪𐑮	tʃɔːR	𐑗𐑹	89
affix	-ciclovir	UNC	RSSB	sʌɪkləʊvɪəR	𐑕𐑳𐑦𐑒𐑤𐑴𐑝𐑽			89
affix	-ciclovir	UNC	GenAm	ˈsaɪkloʊˌvɪr	𐑕𐑲𐑒𐑤𐑴𐑝𐑦𐑮			89
affix	-clofenac	UNC	RSSB	ˈkləʊfənæk	𐑒𐑤𐑴𐑓𐑩𐑯𐑨𐑒			89
affix	-clofenac	UNC	GenAm	ˈkloʊfəˌnæk	𐑒𐑤𐑴𐑓𐑩𐑯𐑨𐑒			89
affix	-coccus	UNC	RSSB	-ˈkɒkəs	-𐑒𐑪𐑒𐑩𐑕			97
affix	-coccus	UNC	GenAm	-ˈkɒkəs	-𐑒𐑪𐑒𐑩𐑕			97
affix	-conazole	UNC	RSSB	ˈkɒnəzəʊl	𐑒𐑪𐑯𐑩𐑟𐑴𐑤			89
affix	-conazole	UNC	GenAm	ˈkɒnəˌzoʊl	𐑒𐑪𐑯𐑩𐑟𐑴𐑤			89
affix	-cort	UNC	RSSB	kɔːRt	𐑒𐑹𐑑			89
affix	-cort	UNC	GenAm	kort	𐑒𐑪𐑮𐑑			89
affix	-cort-	UNC	RSSB	kɔːRt	𐑒𐑹𐑑			89
affix	-cort-	UNC	GenAm	kort	𐑒𐑪𐑮𐑑			89
affix	-coxib	UNC	RSSB	ˈkɒksɪb	𐑒𐑪𐑒𐑕𐑦𐑚			5
affix	-coxib	UNC	GenAm	ˈkɒksɪb	𐑒𐑪𐑒𐑕𐑦𐑚			89
affix	-cratic	UNC	RSSB	krætɪk	𐑒𐑮𐑨𐑑𐑦𐑒			89
affix	-curium	UNC	RSSB	kjəəriəm	𐑒𐑘𐑩𐑼𐑦𐑩𐑥			5
affix	-curium	UNC	GenAm	ˈkjəriəm	𐑒𐑘𐑼𐑦𐑩𐑥	ˈkjəriəm	𐑒𐑘𐑼𐑦𐑩𐑥	89
affix	-curonium	UNC	RSSB	kjərəʊniəm	𐑒𐑘𐑼𐑴𐑯𐑦𐑩𐑥			89
affix	-curonium	UNC	GenAm	kjəˈroʊniəm	𐑒𐑘𐑼𐑴𐑯𐑦𐑩𐑥			89
affix	-dar	UNC	RSSB	-dɑːR	-𐑛𐑸			97
affix	-dar	UNC	GenAm	-dɑːR	-𐑛𐑸			97
affix	-dilol	UNC	RSSB	dɪlɒl	𐑛𐑦𐑤𐑪𐑤			89
affix	-dilol	UNC	GenAm	dɪlɒl	𐑛𐑦𐑤𐑪𐑤			89
affix	-dipine	UNC	RSSB	dɪpiːn	𐑛𐑦𐑐𐑰𐑯			89
affix	-dipine	UNC	GenAm	dəˌpiːn	𐑛𐑩𐑐𐑰𐑯			89
affix	-dom	UNC	RSSB	-dɒm	-𐑛𐑪𐑥	dɒm	𐑛𐑪𐑥	97
affix	-dom	UNC	GenAm	-dɒm	-𐑛𐑪𐑥	dɒm	𐑛𐑪𐑥	97
affix	-dopa	UNC	RSSB	ˈdəʊpə	𐑛𐑴𐑐𐑩			89
affix	-dopa	UNC	GenAm	ˈdoʊpə	𐑛𐑴𐑐𐑩			89
affix	-drine	UNC	RSSB	driːn	𐑛𐑮𐑰𐑯			89
affix	-drine	UNC	GenAm	drɪn	𐑛𐑮𐑦𐑯			89
affix	-drine	UNC	GenAm	ˌdrin	𐑛𐑮𐑦𐑯			89
affix	-dutant	UNC	RSSB	ˈdjuːtənt	𐑛𐑿𐑑𐑩𐑯𐑑			89
affix	-dutant	UNC	GenAm	ˈdutənt	𐑛𐑫𐑑𐑩𐑯𐑑			89
affix	-ed	UNC	RSSB	ɪd	𐑦𐑛			89
affix	-ed	UNC	GenAm	ɪd	𐑦𐑛			89
affix	-ed	UNC	GenAm	əd	𐑩𐑛			89
affix	-eer	UNC	RSSB	ɪər	𐑽	eəR	𐑺	89
affix	-ency	UNC	GenAm	-ɪnsɪ	-𐑦𐑯𐑕𐑦			89
affix	-ene	UNC	RSSB	-iːn	-𐑰𐑯			89
affix	-ene	UNC	GenAm	-in	-𐑦𐑯			89
affix	-enes	UNC	RSSB	-iːnz	-𐑰𐑯𐑟			89
affix	-enes	UNC	GenAm	-inz	-𐑦𐑯𐑟			89
affix	-eous	UNC	GenAm	-iəs	-𐑦𐑩𐑕			89
affix	-eous	UNC	RSSB	-ɪəs	-𐑾𐑕			89
affix	-er	UNC	RSSB	əR	𐑼			89
affix	-er	UNC	GenAm	əR	𐑼			89
affix	-er	UNC	GenAm	r	𐑮			89
affix	-erg-	UNC	RSSB	ɜːRɡ	𐑻𐑜	ɜːRɡ	𐑻𐑜	89
affix	-erg-	UNC	RSSB	ɝɡ	ɝ𐑜	ɜːRɡ	𐑻𐑜	1
affix	-eridine	UNC	RSSB	erɪdiːn	𐑧𐑮𐑦𐑛𐑰𐑯			89
affix	-eridine	UNC	GenAm	ˈerɪˌdin	𐑧𐑮𐑦𐑛𐑦𐑯			89
affix	-es	UNC	GenAm	-iːz	-𐑰𐑟			89
affix	-ese	UNC	RSSB	ˈiːz	𐑰𐑟			89
affix	-ese	UNC	GenAm	ˈiz	𐑦𐑟	ˈeˌseɪ	𐑧𐑕𐑱	89
affix	-fer	UNC	RSSB	fəR	𐑓𐑼			89
affix	-fer	UNC	GenAm	fɜːR	𐑓𐑻			89
affix	-fix	UNC	RSSB	fɪks	𐑓𐑦𐑒𐑕			89
affix	-floxacin	UNC	RSSB	ˈflɒksəsɪn	𐑓𐑤𐑪𐑒𐑕𐑩𐑕𐑦𐑯			89
affix	-floxacin	UNC	GenAm	ˈflɒksəsɪn	𐑓𐑤𐑪𐑒𐑕𐑩𐑕𐑦𐑯			89
affix	-flurane	UNC	RSSB	flʊəreɪn	𐑓𐑤𐑫𐑼𐑱𐑯			89
affix	-flurane	UNC	GenAm	ˈflʊrˌeɪn	𐑓𐑤𐑫𐑮𐑱𐑯			89
affix	-formin	UNC	RSSB	fɔːRmɪn	𐑓𐑹𐑥𐑦𐑯			89
affix	-formin	UNC	GenAm	ˈfɔːRmɪn	𐑓𐑹𐑥𐑦𐑯			89
affix	-fos	UNC	RSSB	fɒs	𐑓𐑪𐑕			89
affix	-fos	UNC	GenAm	ˌfɒs	𐑓𐑪𐑕			89
affix	-fos-	UNC	RSSB	fɒs	𐑓𐑪𐑕			89
affix	-fos-	UNC	GenAm	fɒs	𐑓𐑪𐑕			89
affix	-fos-	UNC	RSSB	fəs	𐑓𐑩𐑕			89
affix	-fos-	UNC	GenAm	fəs	𐑓𐑩𐑕			89
