word	pos	var	shaw	ipa	confidence	source	status	readlex_var	shaw_override	pos_override	var_override	verdict	notes
101	NN1	RRP	𐑢𐑳𐑯𐑴𐑢𐑳𐑯	ˌwʌnəʊˈwʌn	10	wiktionary	new						numeral; shave_says:101
105	NP0	GenAm	𐑢𐑩𐑯𐑴𐑓𐑲𐑝	wənoʊfaɪv	10	wiktionary	new						numeral; shave_says:105
10x	AJ0	GenAm	𐑑𐑧𐑯𐑧𐑒𐑕	ˈtenˌeks	10	wiktionary	new						numeral; shave_says:10x
10x	AJ0	GenAm	𐑑𐑧𐑯𐑑𐑲𐑥𐑟	ˈtenˌtaɪmz	10	wiktionary	new						numeral; shave_says:10x
10x developer	NN1	GenAm	𐑑𐑧𐑯𐑧𐑒𐑕 𐑛𐑦𐑝𐑧𐑤𐑩𐑐𐑼	ˌteˈneks dɪˈveləpəR	10	wiktionary	new						numeral; shave_says:10x 𐑛𐑦𐑝𐑧𐑤𐑩𐑐𐑼
10Xer	NN1	RRP	𐑑𐑧𐑯𐑧𐑒𐑕𐑼	ˌtenˈeksəR	10	wiktionary	new						numeral; shave_says:10Xer
110	NP0	GenAm	𐑢𐑩𐑯𐑢𐑩𐑯𐑴	wənwənoʊ	10	wiktionary	new						numeral; shave_says:110
110	NP0	GenAm	𐑢𐑩𐑯𐑢𐑩𐑯𐑟𐑰𐑮𐑴	wənwənziːroʊ	10	wiktionary	new						numeral; shave_says:110
110	NP0	GenAm	𐑢𐑩𐑯𐑑𐑧𐑯	wənten	10	wiktionary	new						numeral; shave_says:110
1900s	NN1	RSSB	𐑯𐑲𐑯𐑑𐑰𐑯𐑣𐑳𐑯𐑛𐑮𐑩𐑛𐑟	naɪntiːnˈhʌndrədz	10	wordnet	new						numeral; shave_says:1900s
1984	NP0	GenAm	𐑯𐑲𐑯𐑑𐑦𐑯𐑱𐑑𐑦𐑓𐑹	ˌnaɪntinˌeɪtiˈfɔːR	10	wiktionary	new						numeral; shave_says:1984
