word	our_shaw	our_ipa	var	confidence	readlex_shaw	readlex_ipa	notes
chauffeur	𐑖𐑪𐑓𐑻	ʃɒfɜːR	RRP	89	𐑖𐑴𐑓𐑼	ˈʃəʊfəR	shave_says:𐑖𐑴𐑓𐑼
cheerful	𐑗𐑽𐑓𐑼𐑤	tʃɪəRfəRl	RRP	89	𐑗𐑽𐑓𐑩𐑤	ˈtʃɪəRfəl	shave_says:𐑗𐑽𐑓𐑩𐑤
cheerfulness	𐑗𐑽𐑓𐑼𐑤𐑯𐑩𐑕	tʃɪəRfəRlnəs	RRP	89	𐑗𐑽𐑓𐑩𐑤𐑯𐑩𐑕	ˈtʃɪəRfəlnəs	shave_says:𐑗𐑽𐑓𐑩𐑤𐑯𐑩𐑕
cheroot	𐑗𐑼𐑵𐑑	tʃəruːt	RRP	89	𐑖𐑼𐑵𐑑	ʃəˈruːt	shave_says:𐑖𐑼𐑵𐑑
cherub	𐑗𐑧𐑮𐑼𐑚	tʃerəRb	RRP	89	𐑗𐑧𐑮𐑩𐑚	ˈtʃerəb	shave_says:𐑗𐑧𐑮𐑩𐑚
cherubic	𐑗𐑦𐑮𐑵𐑚𐑦𐑒	tʃɪruːbɪk	RRP	89	𐑗𐑼𐑵𐑚𐑦𐑒	tʃəˈruːbɪk	shave_says:𐑗𐑼𐑵𐑚𐑦𐑒
chestnut	𐑗𐑧𐑕𐑯𐑳𐑑	ˈtʃesnʌt	RRP	89	𐑗𐑧𐑕𐑑𐑯𐑳𐑑	ˈtʃestnʌt	shave_says:𐑗𐑧𐑕𐑑𐑯𐑳𐑑
chiaroscuro	𐑒𐑦𐑸𐑼𐑕𐑒𐑫𐑼𐑴	kɪɑːrəRskʊərəʊ	RRP	89	𐑒𐑦𐑸𐑩𐑕𐑒𐑫𐑼𐑴	kɪˌɑːrəˈskʊərəʊ	shave_says:𐑒𐑦𐑸𐑩𐑕𐑒𐑫𐑼𐑴
chicanery	𐑖𐑦𐑒𐑱𐑯𐑮𐑦	ʃɪkeɪnri	RRP	89	𐑖𐑦𐑒𐑱𐑯𐑼𐑦	ʃɪˈkeɪnəri	shave_says:𐑖𐑦𐑒𐑱𐑯𐑼𐑦
chichi	𐑖𐑦𐑖𐑦	ˈʃiʃi	RRP	89	𐑖𐑰𐑖𐑰	ˈʃiːʃiː	shave_says:𐑖𐑰𐑖𐑰
chichi	𐑗𐑦𐑗𐑦	ˈtʃitʃi	RRP	89	𐑖𐑰𐑖𐑰	ˈʃiːʃiː	shave_says:𐑖𐑰𐑖𐑰
chignon	𐑖𐑦𐑯𐑘𐑪𐑯	ʃɪnˈjɒn	RRP	89	𐑖𐑰𐑯𐑘𐑪𐑯	ˈʃiːnjɒn	shave_says:𐑖𐑰𐑯𐑘𐑪𐑯
chilean	𐑗𐑦𐑤𐑦𐑩𐑯	ˈtʃɪliən	RRP	89	𐑗𐑦𐑤𐑾𐑯	ˈtʃɪlɪən	shave_says:𐑗𐑦𐑤𐑾𐑯
chimera	𐑒𐑳𐑦𐑥𐑽𐑩	kʌɪmɪərə	RRP	89	𐑒𐑲𐑥𐑽𐑩	kaɪˈmɪərə	shave_says:𐑒𐑲𐑥𐑽𐑩
chimerical	𐑒𐑦𐑥𐑧𐑮𐑦𐑒𐑩𐑤	kɪmerɪkəl	RRP	89	𐑒𐑲𐑥𐑧𐑮𐑦𐑒𐑩𐑤	kaɪˈmerɪkəl	shave_says:𐑒𐑲𐑥𐑧𐑮𐑦𐑒𐑩𐑤
chimpanzee	𐑗𐑦𐑥𐑐𐑨𐑯𐑟𐑦	tʃɪmˈpænzi	RRP	89	𐑗𐑦𐑥𐑐𐑨𐑯𐑟𐑰	ˌtʃɪmpænˈziː	shave_says:𐑗𐑦𐑥𐑐𐑨𐑯𐑟𐑰
chiropractor	𐑒𐑲𐑮𐑼𐑐𐑮𐑨𐑒𐑑𐑼	kaɪrəRpræktəR	RRP	89	𐑒𐑲𐑮𐑴𐑐𐑮𐑨𐑒𐑑𐑼	ˈkaɪrəʊpræktəR	shave_says:𐑒𐑲𐑮𐑴𐑐𐑮𐑨𐑒𐑑𐑼
chivalrous	𐑖𐑦𐑝𐑩𐑤𐑮𐑳𐑕	ʃɪvəlrʌs	RRP	89	𐑖𐑦𐑝𐑩𐑤𐑮𐑩𐑕	ˈʃɪvəlrəs	shave_says:𐑖𐑦𐑝𐑩𐑤𐑮𐑩𐑕
chlamydia	𐑒𐑤𐑩𐑥𐑦𐑛𐑦𐑩	kləˈmɪdiə	RRP	89	𐑒𐑤𐑩𐑥𐑦𐑛𐑾	kləˈmɪdiə	shave_says:𐑒𐑤𐑩𐑥𐑦𐑛𐑾
chlorinate	𐑒𐑤𐑪𐑮𐑦𐑯𐑱𐑑	klɒrɪneɪt	RRP	89	𐑒𐑤𐑹𐑦𐑯𐑱𐑑	ˈklɔːrɪneɪt	shave_says:𐑒𐑤𐑹𐑦𐑯𐑱𐑑
chlorination	𐑒𐑤𐑪𐑮𐑦𐑯𐑱𐑖𐑩𐑯	klɒrɪneɪʃən	RRP	89	𐑒𐑤𐑹𐑦𐑯𐑱𐑖𐑩𐑯	ˌklɔːrɪˈneɪʃən	shave_says:𐑒𐑤𐑹𐑦𐑯𐑱𐑖𐑩𐑯
chloroform	𐑒𐑤𐑹𐑼𐑓𐑹𐑥	klɔːrəRfɔːRm	RRP	89	𐑒𐑤𐑹𐑩𐑓𐑹𐑥	ˈklɔːrəfɔːRm	shave_says:𐑒𐑤𐑹𐑩𐑓𐑹𐑥
chocolate	𐑗𐑪𐑒𐑤𐑦𐑑	ˈtʃɒklɪt	RRP	89	𐑗𐑪𐑒𐑩𐑤𐑩𐑑	ˈtʃɒkələt	shave_says:𐑗𐑪𐑒𐑩𐑤𐑩𐑑
choleric	𐑒𐑪𐑤𐑮𐑦𐑒	kɒlrɪk	RRP	89	𐑒𐑪𐑤𐑼𐑦𐑒	ˈkɒlərɪk	shave_says:𐑒𐑪𐑤𐑼𐑦𐑒
choral	𐑒𐑹𐑼𐑤	kɔːrəRl	RRP	89	𐑒𐑹𐑩𐑤	ˈkɔːrəl	shave_says:𐑒𐑹𐑩𐑤
choral	𐑒𐑪𐑮𐑸𐑤	kɒrɑːRl	RRP	89	𐑒𐑹𐑩𐑤	ˈkɔːrəl	shave_says:𐑒𐑹𐑩𐑤
chorale	𐑒𐑹𐑸𐑤	kɔːrɑːRl	RRP	89	𐑒𐑼𐑨𐑤, 𐑒𐑼𐑭𐑤	kəˈrⱭːl	shave_says:𐑒𐑼𐑭𐑤
choreography	𐑒𐑷𐑮𐑦𐑪𐑜𐑮𐑩𐑓𐑦	kɔriɒɡrəfi	RRP	89	𐑒𐑪𐑮𐑦𐑪𐑜𐑮𐑩𐑓𐑦	ˌkɒrɪˈɒɡrəfi	shave_says:𐑒𐑪𐑮𐑦𐑪𐑜𐑮𐑩𐑓𐑦
chortle	𐑗𐑷𐑮𐑑𐑩𐑤	tʃɔrtəl	RRP	89	𐑗𐑹𐑑𐑩𐑤	ˈtʃɔːRtəl	shave_says:𐑗𐑹𐑑𐑩𐑤
chorus	𐑒𐑹𐑼𐑕	kɔːrəRs	RRP	89	𐑒𐑹𐑩𐑕	ˈkɔːrəs	shave_says:𐑒𐑹𐑩𐑕
christian	𐑒𐑮𐑦𐑖𐑗𐑩𐑯	krɪʃtʃən	RRP	89	𐑒𐑮𐑦𐑕𐑗𐑩𐑯	ˈkrɪstʃən	shave_says:𐑒𐑮𐑦𐑕𐑗𐑩𐑯
chromium	𐑒𐑮𐑴𐑥𐑦𐑩𐑥	kroʊmiəm	RRP	89	𐑒𐑮𐑴𐑥𐑾𐑥	ˈkrəʊmɪəm	shave_says:𐑒𐑮𐑴𐑥𐑾𐑥
chronometer	𐑒𐑮𐑩𐑯𐑪𐑥𐑩𐑑𐑼	krənɒmətəR	RRP	89	𐑒𐑮𐑩𐑯𐑪𐑥𐑦𐑑𐑼	krəˈnɒmɪtəR	shave_says:𐑒𐑮𐑩𐑯𐑪𐑥𐑦𐑑𐑼
cicada	𐑕𐑦𐑒𐑱𐑛𐑩	sɪˈkeɪdə	RRP	89	𐑕𐑦𐑒𐑭𐑛𐑩	sɪˈkɑːdə	shave_says:𐑕𐑦𐑒𐑭𐑛𐑩
cid	𐑕𐑩𐑛	sƏd	RRP	89	𐑕𐑰𐑲𐑛𐑰	ˌsiːˌaɪˈdiː	shave_says:𐑕𐑰𐑲𐑛𐑰
cincture	𐑕𐑦𐑙𐑒𐑖𐑼	sɪŋkʃəR	RRP	89	𐑕𐑦𐑙𐑒𐑗𐑼	ˈsɪŋktʃəR	shave_says:𐑕𐑦𐑙𐑒𐑗𐑼
cinema	𐑕𐑦𐑯𐑦𐑥𐑩	ˈsɪnɪmə	RRP	89	𐑕𐑦𐑯𐑩𐑥𐑩	ˈsɪnəmə	shave_says:𐑕𐑦𐑯𐑩𐑥𐑩
cinematography	𐑕𐑦𐑯𐑩𐑥𐑩𐑑𐑪𐑜𐑮𐑩𐑓𐑰	sɪnəmətɒɡrəfiː	RRP	89	𐑕𐑦𐑯𐑩𐑥𐑩𐑑𐑪𐑜𐑮𐑩𐑓𐑦	ˌsɪnəməˈtɒɡrəfi	shave_says:𐑕𐑦𐑯𐑩𐑥𐑩𐑑𐑪𐑜𐑮𐑩𐑓𐑦
circadian	𐑕𐑼𐑒𐑱𐑛𐑦𐑩𐑯	sərkeɪdiən	RRP	89	𐑕𐑻𐑒𐑱𐑛𐑾𐑯	sɜːRˈkeɪdiən	shave_says:𐑕𐑻𐑒𐑱𐑛𐑾𐑯
circassian	𐑕𐑼𐑒𐑨𐑕𐑦𐑩𐑯	səRkæsiən	RRP	89	𐑕𐑻𐑒𐑨𐑕𐑾𐑯	sɜːRˈkæsiən	shave_says:𐑕𐑻𐑒𐑨𐑕𐑾𐑯
circuitous	𐑕𐑻𐑒𐑿𐑦𐑑𐑩𐑕	sɜːRkjuːɪtəs	RRP	89	𐑕𐑼𐑒𐑿𐑦𐑑𐑩𐑕	səRˈkjuːɪtəs	shave_says:𐑕𐑼𐑒𐑿𐑦𐑑𐑩𐑕
circular	𐑕𐑻𐑒𐑘𐑼𐑤𐑼	sɜːRkjəRləR	RRP	89	𐑕𐑻𐑒𐑘𐑩𐑤𐑼	ˈsɜːRkjələR	shave_says:𐑕𐑻𐑒𐑘𐑩𐑤𐑼
circumference	𐑕𐑻𐑒𐑳𐑥𐑓𐑮𐑼𐑯𐑕	sɜːRkʌmfrəRns	RRP	89	𐑕𐑻𐑒𐑳𐑥𐑓𐑼𐑩𐑯𐑕	sɜːRˈkʌmfərəns	shave_says:𐑕𐑻𐑒𐑳𐑥𐑓𐑼𐑩𐑯𐑕
circumlocution	𐑕𐑻𐑒𐑼𐑥𐑤𐑩𐑒𐑿𐑖𐑩𐑯	sɜːRkəRmləkjuːʃən	RRP	89	𐑕𐑻𐑒𐑩𐑥𐑤𐑩𐑒𐑿𐑖𐑩𐑯	ˌsɜːRkəmləˈkjuːʃən	shave_says:𐑕𐑻𐑒𐑩𐑥𐑤𐑩𐑒𐑿𐑖𐑩𐑯
circumnavigate	𐑕𐑼𐑒𐑼𐑥𐑯𐑨𐑝𐑦𐑜𐑱𐑑	səRkəRmnævɪɡeɪt	RRP	89	𐑕𐑻𐑒𐑩𐑥𐑯𐑨𐑝𐑦𐑜𐑱𐑑	ˌsɜːRkəmˈnævɪɡeɪt	shave_says:𐑕𐑻𐑒𐑩𐑥𐑯𐑨𐑝𐑦𐑜𐑱𐑑
circumscribe	𐑕𐑻𐑒𐑼𐑥𐑕𐑒𐑮𐑲𐑚	sɜːRkəRmskraɪb	RRP	89	𐑕𐑻𐑒𐑩𐑥𐑕𐑒𐑮𐑲𐑚	ˈsɜːRkəmskraɪb	shave_says:𐑕𐑻𐑒𐑩𐑥𐑕𐑒𐑮𐑲𐑚
circumstances	𐑕𐑻𐑒𐑩𐑥𐑕𐑑𐑯𐑕𐑩𐑟	sɜːRkəmstnsƏz	RRP	89	𐑕𐑻𐑒𐑩𐑥𐑕𐑑𐑨𐑯𐑕𐑩𐑟	ˈsɜːRkəmstænsƏz	shave_says:𐑕𐑻𐑒𐑩𐑥𐑕𐑑𐑨𐑯𐑕𐑩𐑟
circumstantially	𐑕𐑻𐑒𐑼𐑥𐑕𐑑𐑨𐑯𐑖𐑩𐑤𐑰	sɜːrkəRmstænʃəliː	RRP	89	𐑕𐑻𐑒𐑩𐑥𐑕𐑑𐑨𐑯𐑖𐑩𐑤𐑦	ˌsɜːRkəmˈstænʃəli	shave_says:𐑕𐑻𐑒𐑩𐑥𐑕𐑑𐑨𐑯𐑖𐑩𐑤𐑦
cirrus	𐑕𐑦𐑮𐑼𐑕	sɪrəRs	RRP	89	𐑕𐑦𐑮𐑩𐑕	ˈsɪrəs	shave_says:𐑕𐑦𐑮𐑩𐑕
citadel	𐑕𐑦𐑑𐑩𐑛𐑩𐑤	ˈsɪtədəl	RRP	89	𐑕𐑦𐑑𐑩𐑛𐑧𐑤	ˈsɪtədel	shave_says:𐑕𐑦𐑑𐑩𐑛𐑧𐑤
civilian	𐑕𐑦𐑝𐑦𐑤𐑘𐑩𐑯	sɪˈvɪljən	RRP	89	𐑕𐑦𐑝𐑦𐑤𐑾𐑯	sɪˈvɪlɪən	shave_says:𐑕𐑦𐑝𐑦𐑤𐑾𐑯
civvies	𐑕𐑦𐑝𐑦𐑕	ˈsɪvis	RRP	89	𐑕𐑦𐑝𐑦𐑟	ˈsɪviz	shave_says:𐑕𐑦𐑝𐑦𐑟
clamorous	𐑒𐑤𐑨𐑥𐑼𐑼𐑕	klæmərəRs	RRP	89	𐑒𐑤𐑨𐑥𐑼𐑩𐑕	ˈklæmərəs	shave_says:𐑒𐑤𐑨𐑥𐑼𐑩𐑕
claret	𐑒𐑤𐑻𐑼𐑑	klɜːrəRt	RRP	89	𐑒𐑤𐑨𐑮𐑩𐑑	ˈklærət	shave_says:𐑒𐑤𐑨𐑮𐑩𐑑
clarion	𐑒𐑤𐑨𐑮𐑦𐑩𐑯	klæriən	RRP	89	𐑒𐑤𐑨𐑮𐑾𐑯	ˈklærɪən	shave_says:𐑒𐑤𐑨𐑮𐑾𐑯
classroom	𐑒𐑤𐑭𐑕𐑮𐑫𐑥	klɑːsrʊm	RRP	89	𐑒𐑤𐑨𐑕𐑮𐑵𐑥, 𐑒𐑤𐑭𐑕𐑮𐑵𐑥	ˈklⱭːsruːm	shave_says:𐑒𐑤𐑭𐑕𐑮𐑵𐑥
clean-limbed	𐑒𐑤𐑰𐑯𐑤𐑦𐑥𐑛	ˌkliːnˈlɪmd	RRP	89	𐑒𐑤𐑰𐑯-𐑤𐑦𐑥𐑛	kliːn-ˈlɪmd	shave_says:𐑒𐑤𐑰𐑯-𐑤𐑦𐑥𐑛
clearance	𐑒𐑤𐑽𐑼𐑯𐑕	klɪərəRns	RRP	89	𐑒𐑤𐑽𐑩𐑯𐑕	ˈklɪərəns	shave_says:𐑒𐑤𐑽𐑩𐑯𐑕
cliche	𐑒𐑤𐑦𐑖𐑱	kliˈʃeɪ	RRP	89	𐑒𐑤𐑰𐑖𐑱	ˈkliːʃeɪ	shave_says:𐑒𐑤𐑰𐑖𐑱
client	𐑒𐑤𐑳𐑾𐑯𐑑	ˈklʌɪənt	RRP	89	𐑒𐑤𐑲𐑩𐑯𐑑	ˈklaɪənt	shave_says:𐑒𐑤𐑲𐑩𐑯𐑑
clientele	𐑒𐑤𐑲𐑩𐑯𐑑𐑧𐑤	klaɪənˈtel	RRP	89	𐑒𐑤𐑰𐑭𐑯𐑑𐑧𐑤	ˌkliːɑːnˈtel	shave_says:𐑒𐑤𐑰𐑭𐑯𐑑𐑧𐑤
climacteric	𐑒𐑤𐑳𐑦𐑥𐑨𐑒𐑑𐑧𐑮𐑦𐑒	klʌɪmakterɪk	RRP	89	𐑒𐑤𐑲𐑥𐑨𐑒𐑑𐑼𐑦𐑒	klaɪˈmæktərɪk	shave_says:𐑒𐑤𐑲𐑥𐑨𐑒𐑑𐑼𐑦𐑒
clinker-built	𐑒𐑤𐑦𐑙𐑒𐑼𐑚𐑦𐑤𐑑	klɪŋkəRbɪlt	RRP	89	𐑒𐑤𐑦𐑙𐑒𐑼-𐑚𐑦𐑤𐑑	ˈklɪŋkəR-bɪlt	shave_says:𐑒𐑤𐑦𐑙𐑒𐑼-𐑚𐑦𐑤𐑑
cloakroom	𐑒𐑤𐑴𐑒𐑮𐑫𐑥	kləʊkrʊm	RRP	89	𐑒𐑤𐑴𐑒𐑮𐑵𐑥	ˈkləʊkruːm	shave_says:𐑒𐑤𐑴𐑒𐑮𐑵𐑥
close-up	𐑒𐑤𐑴𐑕𐑳𐑐	kləʊsˈʌp	RRP	89	𐑒𐑤𐑴𐑕-𐑳𐑐	ˈkləʊs-ʌp	shave_says:𐑒𐑤𐑴𐑕-𐑳𐑐
closely	𐑒𐑤𐑴𐑕𐑤𐑰	ˈkləʊsliː	RRP	89	𐑒𐑤𐑴𐑕𐑤𐑦	ˈkləʊsli	shave_says:𐑒𐑤𐑴𐑕𐑤𐑦
closet	𐑒𐑤𐑪𐑟𐑦𐑑	ˈklɒzɪt	RRP	89	𐑒𐑤𐑪𐑟𐑩𐑑	ˈklɒzIt	shave_says:𐑒𐑤𐑪𐑟𐑩𐑑
clothes	𐑒𐑤𐑴𐑟	kləʊz	RRP	89	𐑒𐑤𐑴𐑞𐑟	kləʊðz	shave_says:𐑒𐑤𐑴𐑞𐑟
clothier	𐑒𐑤𐑴𐑞𐑦𐑼	kloʊðiəR	RRP	89	𐑒𐑤𐑴𐑞𐑽	ˈkləʊðɪəR	shave_says:𐑒𐑤𐑴𐑞𐑽
cloud-cuckoo-land	𐑒𐑤𐑬𐑛𐑒𐑫𐑒𐑵𐑤𐑨𐑯𐑛	klaʊdˈkʊkuːlænd	RRP	89	𐑒𐑤𐑬𐑛-𐑒𐑫𐑒𐑵-𐑤𐑨𐑯𐑛	ˌklaʊd-ˈkʊkuː-lænd	shave_says:𐑒𐑤𐑬𐑛-𐑒𐑫𐑒𐑵-𐑤𐑨𐑯𐑛
co-ed	𐑒𐑴𐑧𐑛	ˈkoʊˌed	RRP	89	𐑒𐑴-𐑧𐑛	ˈkəʊ-ed	shave_says:𐑒𐑴-𐑧𐑛
co-op	𐑒𐑴𐑪𐑐	ˈkoʊˌɒp	RRP	89	𐑒𐑴-𐑪𐑐	kəʊ-ˈɒp	shave_says:𐑒𐑴-𐑪𐑐
coarsen	𐑒𐑹𐑕𐑼𐑯	kɔːRsəRn	RRP	89	𐑒𐑹𐑕𐑩𐑯	ˈkɔːRsən	shave_says:𐑒𐑹𐑕𐑩𐑯
coax	𐑒𐑴𐑨𐑒𐑕	ˈkəʊæks	RRP	89	𐑒𐑴𐑒𐑕	kəʊks	shave_says:𐑒𐑴𐑒𐑕
cobalt	𐑒𐑴𐑚𐑪𐑤𐑑	ˈkəʊbɒlt	RRP	89	𐑒𐑴𐑚𐑷𐑤𐑑	ˈkəʊbɔːlt	shave_says:𐑒𐑴𐑚𐑷𐑤𐑑
cocaine	𐑒𐑩𐑒𐑱𐑯	kəˈkeɪn	RRP	89	𐑒𐑴𐑒𐑱𐑯	kəʊˈkeɪn	shave_says:𐑒𐑴𐑒𐑱𐑯
cochlea	𐑒𐑪𐑒𐑤𐑦𐑩	ˈkɒkliə	RRP	89	𐑒𐑪𐑒𐑤𐑾	ˈkɒklɪə	shave_says:𐑒𐑪𐑒𐑤𐑾
cock-a-doodle-doo	𐑒𐑪𐑒𐑩𐑛𐑵𐑛𐑩𐑤𐑛𐑵	ˌkɒkəˌduːdəlˈduː	RRP	89	𐑒𐑪𐑒-𐑩-𐑛𐑵𐑛𐑩𐑤-𐑛𐑵	ˌkɒk-ə-ˌduːdəl-ˈduː	shave_says:𐑒𐑪𐑒-𐑩-𐑛𐑵𐑛𐑩𐑤-𐑛𐑵
cockerel	𐑒𐑪𐑒𐑼𐑼𐑤	kɒkərəRl	RRP	89	𐑒𐑪𐑒𐑼𐑩𐑤	ˈkɒkərəl	shave_says:𐑒𐑪𐑒𐑼𐑩𐑤
codicil	𐑒𐑪𐑛𐑦𐑕𐑦𐑤	ˈkɒdɪsɪl	RRP	89	𐑒𐑴𐑛𐑦𐑕𐑦𐑤	ˈkəʊdɪsɪl	shave_says:𐑒𐑴𐑛𐑦𐑕𐑦𐑤
cogitate	𐑒𐑴𐑡𐑦𐑑𐑱𐑑	ˈkəʊdʒɪteɪt	RRP	89	𐑒𐑪𐑡𐑦𐑑𐑱𐑑	ˈkɒdʒɪteɪt	shave_says:𐑒𐑪𐑡𐑦𐑑𐑱𐑑
cognitively	𐑒𐑪𐑜𐑯𐑩𐑑𐑦𐑝𐑤𐑦	ˈkɒɡnətɪvli	RRP	89	𐑒𐑪𐑜𐑯𐑦𐑑𐑦𐑝𐑤𐑦	ˈkɒɡnɪtɪvli	shave_says:𐑒𐑪𐑜𐑯𐑦𐑑𐑦𐑝𐑤𐑦
cohere	𐑒𐑴𐑣𐑦𐑮	koʊhɪr	RRP	89	𐑒𐑴𐑣𐑽	kəʊˈhɪəR	shave_says:𐑒𐑴𐑣𐑽
coherent	𐑒𐑴𐑣𐑽𐑼𐑯𐑑	kəʊhɪərəRnt	RRP	89	𐑒𐑴𐑣𐑽𐑩𐑯𐑑	ˌkəʊˈhɪərənt	shave_says:𐑒𐑴𐑣𐑽𐑩𐑯𐑑
cohesion	𐑒𐑴𐑣𐑦𐑠𐑩𐑯	koʊˈhiʒən	RRP	89	𐑒𐑴𐑣𐑰𐑠𐑩𐑯	kəʊˈhiːʒən	shave_says:𐑒𐑴𐑣𐑰𐑠𐑩𐑯
coition	𐑒𐑴𐑦𐑖𐑯	kəʊˈɪʃn	RRP	89	𐑒𐑴𐑦𐑖𐑩𐑯	kəʊˈɪʃən	shave_says:𐑒𐑴𐑦𐑖𐑩𐑯
cold-blooded	𐑒𐑴𐑤𐑛𐑚𐑤𐑳𐑛𐑩𐑛	ˈkoʊldˈblʌdƏd	RRP	89	𐑒𐑴𐑤𐑛-𐑚𐑤𐑳𐑛𐑩𐑛	kəʊld-ˈblʌdƏd	shave_says:𐑒𐑴𐑤𐑛-𐑚𐑤𐑳𐑛𐑩𐑛
coliseum	𐑒𐑪𐑤𐑩𐑕𐑰𐑩𐑥	kɒləˈsiːəm	RRP	89	𐑒𐑪𐑤𐑦𐑕𐑾𐑥	ˌkɒlɪˈsiːəm	shave_says:𐑒𐑪𐑤𐑦𐑕𐑾𐑥
collate	𐑒𐑪𐑤𐑱𐑑	kɒˈleɪt	RRP	89	𐑒𐑩𐑤𐑱𐑑	kəˈleɪt	shave_says:𐑒𐑩𐑤𐑱𐑑
collateral	𐑒𐑩𐑤𐑨𐑑𐑼𐑼𐑤	kəlætərəRl	RRP	89	𐑒𐑩𐑤𐑨𐑑𐑼𐑩𐑤	kəˈlætərəl	shave_says:𐑒𐑩𐑤𐑨𐑑𐑼𐑩𐑤
collect	𐑒𐑪𐑤𐑦𐑒𐑑	ˈkɒlɪkt	RRP	89	𐑒𐑩𐑤𐑧𐑒𐑑, 𐑒𐑪𐑤𐑧𐑒𐑑	kəˈlekt	shave_says:𐑒𐑩𐑤𐑧𐑒𐑑
collegial	𐑒𐑩𐑤𐑰𐑡𐑩𐑤	kəˈliːdʒəl	RRP	89	𐑒𐑩𐑤𐑰𐑡𐑾𐑤	kəˈliːdʒiəl	shave_says:𐑒𐑩𐑤𐑰𐑡𐑾𐑤
collegiate	𐑒𐑩𐑤𐑰𐑡𐑦𐑩𐑑	kəˈliːdʒiət	RRP	89	𐑒𐑩𐑤𐑰𐑡𐑾𐑑	kəˈliːdʒɪət	shave_says:𐑒𐑩𐑤𐑰𐑡𐑾𐑑
colloquialism	𐑒𐑩𐑤𐑴𐑒𐑢𐑦𐑩𐑤𐑦𐑟𐑩𐑥	kəˈləʊkwiəˌlɪzəm	RRP	89	𐑒𐑩𐑤𐑴𐑒𐑢𐑾𐑤𐑦𐑟𐑩𐑥	kəˈləʊkwɪəlɪzəm	shave_says:𐑒𐑩𐑤𐑴𐑒𐑢𐑾𐑤𐑦𐑟𐑩𐑥
colonial	𐑒𐑩𐑤𐑴𐑯𐑦𐑩𐑤	kəˈləʊniəl	RRP	89	𐑒𐑩𐑤𐑴𐑯𐑾𐑤	kəˈləʊnɪəl	shave_says:𐑒𐑩𐑤𐑴𐑯𐑾𐑤
colonialism	𐑒𐑩𐑤𐑴𐑯𐑘𐑩𐑤𐑦𐑟𐑩𐑥	kəˈləʊnjəlɪzəm	RRP	89	𐑒𐑩𐑤𐑴𐑯𐑾𐑤𐑦𐑟𐑩𐑥	kəˈləʊnɪəlɪzəm	shave_says:𐑒𐑩𐑤𐑴𐑯𐑾𐑤𐑦𐑟𐑩𐑥
coloratura	𐑒𐑪𐑤𐑼𐑼𐑑𐑘𐑼𐑩	kɒlərəRtjərə	RRP	89	𐑒𐑪𐑤𐑼𐑩𐑑𐑫𐑼𐑩	ˌkɒlərəˈtʊərə	shave_says:𐑒𐑪𐑤𐑼𐑩𐑑𐑫𐑼𐑩
colorful	𐑒𐑳𐑤𐑼𐑓𐑼𐑤	kʌləRfəRl	RRP	89	𐑒𐑳𐑤𐑼𐑓𐑩𐑤	ˈkʌləRfəl	shave_says:𐑒𐑳𐑤𐑼𐑓𐑩𐑤
columnist	𐑒𐑪𐑤𐑩𐑥𐑦𐑕𐑑	ˈkɒləmɪst	RRP	89	𐑒𐑪𐑤𐑩𐑥𐑯𐑦𐑕𐑑	ˈkɒləmnɪst	shave_says:𐑒𐑪𐑤𐑩𐑥𐑯𐑦𐑕𐑑
combatant	𐑒𐑪𐑥𐑚𐑩𐑑𐑩𐑯𐑑	ˈkɒmbətənt	RRP	89	𐑒𐑩𐑥𐑚𐑨𐑑𐑩𐑯𐑑	ˈkəmbætənt	shave_says:𐑒𐑩𐑥𐑚𐑨𐑑𐑩𐑯𐑑
combative	𐑒𐑪𐑥𐑚𐑩𐑑𐑦𐑝	ˈkɒmbətɪv	RRP	89	𐑒𐑩𐑥𐑚𐑨𐑑𐑦𐑝	ˈkəmbætɪv	shave_says:𐑒𐑩𐑥𐑚𐑨𐑑𐑦𐑝
combustible	𐑒𐑩𐑥𐑚𐑳𐑕𐑑𐑦𐑚𐑩𐑤	kəmˈbʌstɪbəl	RRP	89	𐑒𐑩𐑥𐑚𐑳𐑕𐑑𐑩𐑚𐑩𐑤	kəmˈbʌstəbəl	shave_says:𐑒𐑩𐑥𐑚𐑳𐑕𐑑𐑩𐑚𐑩𐑤
come-on	𐑒𐑳𐑥𐑪𐑯	ˈkʌmˌɒn	RRP	89	𐑒𐑳𐑥-𐑪𐑯	ˈkʌm-ɒn	shave_says:𐑒𐑳𐑥-𐑪𐑯
comedian	𐑒𐑩𐑥𐑰𐑛𐑦𐑩𐑯	kəˈmiːdiən	RRP	89	𐑒𐑩𐑥𐑰𐑛𐑾𐑯	kəˈmiːdɪən	shave_says:𐑒𐑩𐑥𐑰𐑛𐑾𐑯
comfortable	𐑒𐑳𐑥𐑓𐑑𐑼𐑚𐑩𐑤	kʌmftəRbəl	RRP	89	𐑒𐑳𐑥𐑓𐑼𐑑𐑩𐑚𐑩𐑤	ˈkʌmfəRtəbəl	shave_says:𐑒𐑳𐑥𐑓𐑼𐑑𐑩𐑚𐑩𐑤
comfortably	𐑒𐑳𐑥𐑓𐑑𐑼𐑚𐑤𐑦	kʌmftəRbli	RRP	89	𐑒𐑳𐑥𐑓𐑼𐑑𐑩𐑚𐑤𐑦	ˈkʌmfəRtəbli	shave_says:𐑒𐑳𐑥𐑓𐑼𐑑𐑩𐑚𐑤𐑦
