anadromous,AJ0,RRP,keep,𐑩𐑯𐑨𐑛𐑮𐑩𐑥𐑩𐑕,𐑩𐑯𐑨𐑛𐑮𐑩𐑥𐑩𐑕,ənadrəməs,əˈnædrəməs,,,shave_says:𐑨𐑯𐑩𐑛𐑮𐑴𐑥𐑩𐑕
anamorphic,AJ0,RRP,keep,𐑨𐑯𐑩𐑥𐑹𐑓𐑦𐑒,𐑨𐑯𐑩𐑥𐑹𐑓𐑦𐑒,ænəmɔːRfɪk,ˌænəˈmɔːRfɪk,,,shave_agrees
androgyny,NN1,RRP,keep,𐑨𐑯𐑛𐑮𐑪𐑡𐑩𐑯𐑦,𐑨𐑯𐑛𐑮𐑪𐑡𐑩𐑯𐑦,ændrɒdʒəni,ænˈdrɒdʒəni,,,shave_agrees
aneurysm,NN1,RRP,keep,𐑨𐑯𐑘𐑼𐑦𐑟𐑩𐑥,𐑨𐑯𐑘𐑼𐑦𐑟𐑩𐑥,anjərɪzəm,ˈænjərɪzəm,,,shave_agrees
anglerfish,NN1,RRP,keep,𐑨𐑙𐑜𐑤𐑼𐑓𐑦𐑖,𐑨𐑙𐑜𐑤𐑼𐑓𐑦𐑖,æŋɡləRfɪʃ,ˈæŋɡləRˌfɪʃ,,,shave_agrees
anglo-norman,NN1,RRP,keep,𐑨𐑙𐑜𐑤𐑴𐑯𐑹𐑥𐑩𐑯,𐑨𐑙𐑜𐑤𐑴𐑯𐑹𐑥𐑩𐑯,æŋɡləʊnɔːRmən,æŋɡloʊnɔːrmən,,,shave_says:anglo-𐑯𐑹𐑥𐑩𐑯
anthroposophy,NN1,RRP,keep,𐑨𐑯𐑔𐑮𐑩𐑐𐑪𐑕𐑩𐑓𐑦,𐑨𐑯𐑔𐑮𐑩𐑐𐑪𐑕𐑩𐑓𐑦,ænθrəpɒsəfi,ˌænθrəˈpɒsəfi,,,shave_says:𐑨𐑯𐑔𐑮𐑪𐑐𐑩𐑕𐑴𐑓𐑦
badass,AJ0,RRP,keep,𐑚𐑨𐑛𐑨𐑕,𐑚𐑨𐑛𐑨𐑕,ˈbædæs,ˈbædˌæs,,,shave_agrees
badass,NN1,RRP,keep,𐑚𐑨𐑛𐑨𐑕,𐑚𐑨𐑛𐑨𐑕,ˈbædæs,ˈbædˌæs,,,shave_agrees
banquette,NN1,RRP,keep,𐑚𐑨𐑙𐑒𐑧𐑑,𐑚𐑨𐑙𐑒𐑧𐑑,baŋˈket,bæŋˈket,,,shave_agrees
bargello,NN1,RRP,keep,𐑚𐑸𐑡𐑧𐑤𐑴,𐑚𐑸𐑡𐑧𐑤𐑴,bɑːRdʒeləʊ,bɑːRˈdʒeloʊ,,,shave_agrees
baster,NN1,RRP,keep,𐑚𐑱𐑕𐑑𐑼,𐑚𐑱𐑕𐑑𐑼,beɪstəR,ˈbeɪstəR,,,shave_agrees
beignet,NN1,RRP,keep,𐑚𐑧𐑯𐑘𐑱,𐑚𐑧𐑯𐑘𐑱,ˈbenjeɪ,benˈjeɪ,,,shave_says:𐑚𐑦𐑦𐑜𐑯𐑧𐑑
bemire,VVI,RRP,keep,𐑚𐑩𐑥𐑲𐑼,𐑚𐑩𐑥𐑲𐑼,bəmaɪəR,bəˌmaɪər,,,shave_says:𐑚𐑦𐑥𐑲𐑼
bioweapon,NN1,RRP,keep,𐑚𐑲𐑴𐑢𐑧𐑐𐑩𐑯,𐑚𐑲𐑴𐑢𐑧𐑐𐑩𐑯,ˈbaɪəʊˌwepən,ˈbaɪoʊˌwepən,,,shave_agrees
birdie,NN1,RRP,keep,𐑚𐑻𐑛𐑦,𐑚𐑻𐑛𐑦,bɜːRdi,ˈbɜːRdi,,,shave_agrees
birdie,VVI,RRP,keep,𐑚𐑻𐑛𐑦,𐑚𐑻𐑛𐑦,bɜːRdi,ˈbɜːRdi,,,shave_agrees
biter,NN1,RRP,keep,𐑚𐑲𐑑𐑼,𐑚𐑲𐑑𐑼,baɪtəR,ˈbaɪtəR,,,shave_agrees
bizarreness,NN1,RRP,keep,𐑚𐑦𐑟𐑸𐑯𐑩𐑕,𐑚𐑦𐑟𐑸𐑯𐑩𐑕,bɪzɑːRnəs,bɪˈzɑːRnəs,,,"r_gap:spelling=2,ipa=1; shave_agrees"
blender,NN1,RRP,keep,𐑚𐑤𐑧𐑯𐑛𐑼,𐑚𐑤𐑧𐑯𐑛𐑼,blendəR,ˈblendəR,,,shave_agrees
blither,VVI,RRP,keep,𐑚𐑤𐑦𐑞𐑼,𐑚𐑤𐑦𐑞𐑼,blɪðəR,ˈblɪðəR,,,shave_agrees
blowhard,NN1,RRP,keep,𐑚𐑤𐑴𐑣𐑸𐑛,𐑚𐑤𐑴𐑣𐑸𐑛,bləʊhɑːRd,ˈbloʊhɑːRd,,,shave_agrees
blowjob,NN1,RRP,keep,𐑚𐑤𐑴𐑡𐑪𐑚,𐑚𐑤𐑴𐑡𐑪𐑚,ˈbləʊdʒɒb,ˈbloʊdʒɒb,,,shave_agrees
bonobo,NN1,RRP,keep,𐑚𐑩𐑯𐑴𐑚𐑴,𐑚𐑩𐑯𐑴𐑚𐑴,bəˈnəʊˌbəʊ,bəˈnoʊˌboʊ,,,shave_agrees
bordelaise,NN1,RRP,keep,𐑚𐑹𐑛𐑩𐑤𐑱𐑟,𐑚𐑹𐑛𐑩𐑤𐑱𐑟,bɔːRdəleɪz,ˌbɔːRdəˈleɪz,,,shave_says:𐑚𐑹𐑛𐑫𐑤𐑧𐑟
bowstring,NN1,RRP,keep,𐑚𐑴𐑕𐑑𐑮𐑦𐑙,𐑚𐑴𐑕𐑑𐑮𐑦𐑙,ˈbəʊstrɪŋ,ˈboʊstrɪŋ,,,shave_agrees
bowtie,NN1,RRP,keep,𐑚𐑴𐑑𐑲,𐑚𐑴𐑑𐑲,bəʊˈtaɪ,boʊˈtaɪ,,,shave_agrees
bracer,NN1,RRP,keep,𐑚𐑮𐑱𐑕𐑼,𐑚𐑮𐑱𐑕𐑼,breɪsəR,ˈbreɪsəR,,,shave_agrees
bromance,NN1,RRP,keep,𐑚𐑮𐑴𐑥𐑨𐑯𐑕,𐑚𐑮𐑴𐑥𐑨𐑯𐑕,ˈbrəʊmæns,ˈbroʊmæns,,,shave_agrees
brony,NN1,RRP,keep,𐑚𐑮𐑴𐑯𐑦,𐑚𐑮𐑴𐑯𐑦,ˈbrəʊni,ˈbroʊni,,,shave_agrees
buddha,NN1,RRP,keep,𐑚𐑫𐑛𐑩,𐑚𐑫𐑛𐑩,ˈbʊdə,ˈbudə,,,shave_agrees
burgrave,NN1,RRP,keep,𐑚𐑻𐑜𐑮𐑱𐑝,𐑚𐑻𐑜𐑮𐑱𐑝,bɜːRɡreɪv,ˈbɜːRɡreɪv,,,shave_agrees
butterfat,NN1,RRP,keep,𐑚𐑳𐑑𐑼𐑓𐑨𐑑,𐑚𐑳𐑑𐑼𐑓𐑨𐑑,bʌtəRfæt,ˈbʌtəRfæt,,,shave_agrees
butterfingered,AJ0,RRP,keep,𐑚𐑳𐑑𐑼𐑓𐑦𐑙𐑜𐑼𐑛,𐑚𐑳𐑑𐑼𐑓𐑦𐑙𐑜𐑼𐑛,bʌtəRfɪŋɡəRd,ˈbʌtəRˌfɪŋɡəRd,,,shave_agrees
butterfish,NN1,RRP,keep,𐑚𐑳𐑑𐑼𐑓𐑦𐑖,𐑚𐑳𐑑𐑼𐑓𐑦𐑖,bʌtəRfɪʃ,ˈbʌtərfɪʃ,,,shave_agrees
caliber,NN1,RRP,keep,𐑒𐑨𐑤𐑦𐑚𐑼,𐑒𐑨𐑤𐑦𐑚𐑼,kælɪbəR,ˈkælɪbəR,,,shave_agrees
candor,NN1,RRP,keep,𐑒𐑨𐑯𐑛𐑼,𐑒𐑨𐑯𐑛𐑼,kændəR,ˈkændəR,,,shave_agrees
carbonara,NN1,RRP,keep,𐑒𐑸𐑚𐑩𐑯𐑸𐑩,𐑒𐑸𐑚𐑩𐑯𐑸𐑩,kɑːRbənɑːrə,ˌkɑːRbəˈnɑːRə,,,shave_says:𐑒𐑸𐑚𐑩𐑯𐑼𐑩
carbonarism,NN1,RRP,keep,𐑒𐑸𐑚𐑩𐑯𐑸𐑦𐑟𐑩𐑥,𐑒𐑸𐑚𐑩𐑯𐑸𐑦𐑟𐑩𐑥,kɑːRbənɑːrɪzəm,ˌkɑːRbəˈnɑːRɪzəm,,,shave_says:𐑒𐑸𐑚𐑩𐑯𐑼𐑦𐑟𐑩𐑥
carjack,VVI,RRP,keep,𐑒𐑸𐑡𐑨𐑒,𐑒𐑸𐑡𐑨𐑒,kɑːRdʒæk,ˈkɑːRdʒæk,,,shave_agrees
carload,NN1,RRP,keep,𐑒𐑸𐑤𐑴𐑛,𐑒𐑸𐑤𐑴𐑛,kɑːRləʊd,ˈkɑːRloʊd,,,shave_agrees
carpus,NN1,RRP,keep,𐑒𐑸𐑐𐑩𐑕,𐑒𐑸𐑐𐑩𐑕,kɑːRpəs,ˈkɑːRpəs,,,shave_agrees
carrier,NN1,RRP,keep,𐑒𐑨𐑮𐑽,𐑒𐑨𐑮𐑽,kærɪəR,ˈkærɪəR,,,"r_gap:spelling=3,ipa=2; shave_agrees"
catheter,NN1,RRP,keep,𐑒𐑨𐑔𐑦𐑑𐑼,𐑒𐑨𐑔𐑦𐑑𐑼,kæθɪtəR,ˈkæθɪtəR,,,shave_says:𐑒𐑨𐑔𐑩𐑑𐑼
centerfold,NN1,RRP,keep,𐑕𐑧𐑯𐑑𐑼𐑓𐑴𐑤𐑛,𐑕𐑧𐑯𐑑𐑼𐑓𐑴𐑤𐑛,sentəRfəʊld,ˈsentəRfoʊld,,,shave_agrees
chipotle,NN1,RRP,keep,𐑗𐑦𐑐𐑴𐑑𐑤𐑱,𐑗𐑦𐑐𐑴𐑑𐑤𐑱,tʃɪˈpəʊtleɪ,tʃɪˈpoʊtleɪ,,,shave_says:𐑗𐑦𐑐𐑴𐑑𐑤𐑧
chiromancer,NN1,GenAm,keep,𐑒𐑲𐑮𐑩𐑥𐑨𐑯𐑕𐑼,𐑒𐑲𐑮𐑩𐑥𐑨𐑯𐑕𐑼,kaɪrəmænsəR,ˈkaɪrəˌmænsəR,,,shave_says:𐑒𐑲𐑮𐑴𐑥𐑩𐑯𐑕𐑼
chiromancer,NN1,GenAm,keep,𐑒𐑲𐑮𐑩𐑥𐑨𐑯𐑕𐑼,𐑒𐑲𐑮𐑩𐑥𐑨𐑯𐑕𐑼,kaɪrəmænsəR,ˈkaɪrəˌmænsəR,,,shave_says:𐑒𐑲𐑮𐑴𐑥𐑩𐑯𐑕𐑼
chroma,NN1,RRP,keep,𐑒𐑮𐑴𐑥𐑩,𐑒𐑮𐑴𐑥𐑩,krəʊmə,ˈkroʊmə,,,shave_agrees
chronoscope,NN1,RRP,keep,𐑒𐑮𐑪𐑯𐑩𐑕𐑒𐑴𐑐,𐑒𐑮𐑪𐑯𐑩𐑕𐑒𐑴𐑐,krɒnəskəʊp,ˈkrɒnəˌskoʊp,,,shave_agrees
classifier,NN1,RRP,keep,𐑒𐑤𐑨𐑕𐑦𐑓𐑲𐑼,𐑒𐑤𐑨𐑕𐑦𐑓𐑲𐑼,klæsɪfaɪəR,ˈklæsɪfaɪəR,,,shave_agrees
claustrophobe,NN1,RRP,keep,𐑒𐑤𐑪𐑕𐑑𐑮𐑩𐑓𐑴𐑚,𐑒𐑤𐑪𐑕𐑑𐑮𐑩𐑓𐑴𐑚,klɒstrəfəʊb,ˈklɒstrəˌfoʊb,,,shave_says:𐑒𐑤𐑷𐑕𐑑𐑮𐑴𐑓𐑴𐑚
